Plan Name,Price,Features,Numeric Price
Core,$3.19,1Website100GBSSD StorageUnmeteredBandwidth~20KVisitors a monthLive Chat Support from Helpful Humans,3.19
WP Core,$3.69,1Website100GBNVMe Storage10xWP PerformanceUnmeteredBandwidth2PHP Workersper SiteLive Chat Support from Helpful Humans,3.69
Launch,$4.99,2Websites100GBNVMe StorageUnmeteredBandwidth~50KVisitors a monthLive Chat Support from Helpful Humans,4.99
Power,$4.99,10Websites200GBNVMe StorageUnmeteredBandwidth~300KVisitors a month99.99% Uptime GuaranteeLive Chat and Phone Support from Helpful Humans,4.99
WP Launch,$5.49,2Websites100GBNVMe Storage20xWP PerformanceUnmeteredBandwidth3PHP Workersper SiteAdvanced CachingWordPress MultisiteWordPressStagingToolLive Chat Support from Helpful Humans,5.49
WP Power,$5.49,10Websites200GBNVMe Storage30xWP PerformanceUnmeteredBandwidth4PHP Workersper SiteAdvanced CachingDedicatedOpcode CachePoolWordPress MultisiteWordPressStagingToolChoice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans,5.49
VPS 4 vCPU,$9.99,4 vCPUCores8GBRAM160GBNVMe SSD5TBBandwidth2Dedicated IPsProfessional Email Free Trial,9.99
Pro,$10.99,40Websites2 vCPUCores4GBRAM300GBNVMe StorageUnmeteredBandwidth~500KVisitors a monthIncluded Agency FeaturesDedicated IP99.99% Uptime GuaranteeLive Chat and Phone Support from Helpful Humans,10.99
WP Pro,$11.49,40Websites2 vCPUCores4GBRAM300GBNVMe Storage40xWP PerformanceUnmeteredBandwidth6PHP Workersper SiteIncluded Agency FeaturesAdvanced CachingDedicatedOpcode CachePoolPro Level SupportDedicated IPWordPress MultisiteWordPressStagingToolChoice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans,11.49
VPS 8 vCPU,$19.99,8 vCPUCores16GBRAM260GBNVMe SSDUnlimitedBandwidth3Dedicated IPsProfessional Email Free Trial,19.99
